k lattice_const E0
3 4.1681866280573079 -.27534875E+01
5 4.2107192636988655 -.25777842E+01
7 4.2052909041840261 -.26007307E+01
9 4.2014502127229569 -.26169071E+01
11 4.2019756394531997 -.26150927E+01
13 4.2033917368113869 -.26088536E+01
