k lattice_const E0
3 4.1631049132298301 -.27533840E+01
5 -0.0000000000000001 -.25777313E+01
7 4.2048841478095866 -.26006742E+01
9 4.2002009563147213 -.26168475E+01
11 4.1999734410025953 -.26150311E+01
13 4.2044971528970700 -.26087981E+01
