k lattice_const E0
3 4.1682716331494998 -.27534377E+01
5 4.2107735461837503 -.25777361E+01
7 4.2053404103215239 -.26006816E+01
9 4.2014996645890541 -.26168576E+01
11 4.2020240289417767 -.26150436E+01
13 4.2034151174448384 -.26088047E+01
