k lattice_const E0
3 4.1682123437352940 -.27534667E+01
5 4.2107144653458777 -.25777630E+01
7 4.2052982148843157 -.26007097E+01
9 4.2014426050248135 -.26168859E+01
11 4.2019649169606348 -.26150715E+01
13 4.2033674822081561 -.26088323E+01
