k lattice_const E0
3 4.2820000648000001 -.27277072E+01
5 4.2820000648000001 -.25582699E+01
7 4.2820000648000001 -.25808267E+01
9 4.2820000648000001 -.25965047E+01
11 4.2820000648000001 -.25947158E+01
13 4.2820000648000001 -.25887175E+01
