k lattice_const E0
3 4.2820000648000001 -.27284314E+01
5 4.2820000648000001 -.25592034E+01
7 4.2820000648000001 -.25818010E+01
9 4.2820000648000001 -.25974878E+01
11 4.2820000648000001 -.25956915E+01
13 4.2820000648000001 -.25897046E+01
