k lattice_const E0
3 4.0241676247725335 -.30616864E+01
5 4.0608914992643257 -.28737283E+01
7 4.0564771498371721 -.28977646E+01
9 4.0530855063642273 -.29151061E+01
11 4.0534483220455826 -.29131303E+01
13 4.0554718826785567 -.29064136E+01
