k lattice_const E0
3 4.0255985123513565 -.30628142E+01
5 4.0622333440418164 -.28750926E+01
7 4.0579088876745466 -.28991063E+01
9 4.0543000154193534 -.29164181E+01
11 4.0546535348618118 -.29144474E+01
13 4.0566854656629783 -.29077313E+01
