k lattice_const E0
3 -0.0000000000000001 -.30628122E+01
5 4.0617333061578735 -.28750154E+01
7 4.0573990992765916 -.28990284E+01
9 4.0539775370421296 -.29163397E+01
11 -0.0000000000000001 -.29143651E+01
13 4.0561855237885593 -.29076477E+01
