k lattice_const E0
3 4.0255805459323541 -.30627806E+01
5 4.0622159931946964 -.28750553E+01
7 4.0578802700975594 -.28990684E+01
9 4.0542769571814912 -.29163805E+01
11 4.0546390682917091 -.29144097E+01
13 4.0565889199361633 -.29076936E+01
