k lattice_const E0
3 0.0000000000000001 -.30627175E+01
5 4.0622206659859161 -.28749912E+01
7 4.0579017750763349 -.28990035E+01
9 4.0542856948007202 -.29163158E+01
11 4.0546475562882458 -.29143459E+01
13 4.0565911137056476 -.29076297E+01
