k lattice_const E0
3 4.0205056554443397 -.30628048E+01
5 4.0627976579392078 -.28750831E+01
7 4.0566439635771232 -.28991002E+01
9 4.0525825368374218 -.29164113E+01
11 4.0529381250092840 -.29144405E+01
13 4.0559687599774055 -.29077256E+01
