k lattice_const E0
3 4.0256019937606533 -.30628074E+01
5 4.0622362421115561 -.28750863E+01
7 4.0579197609294564 -.28990998E+01
9 4.0543301738711621 -.29164116E+01
11 4.0546543436925759 -.29144409E+01
13 4.0566918550672426 -.29077247E+01
