k lattice_const E0
3 4.0205287550775530 -.30628118E+01
5 4.0628181141616722 -.28750892E+01
7 4.0566220454271571 -.28991068E+01
9 4.0525819043093225 -.29164178E+01
11 4.0529636920438596 -.29144471E+01
13 4.0559852704791082 -.29077321E+01
