k lattice_const E0
3 4.0204609918199461 -.30627143E+01
5 4.0627027532774118 -.28749884E+01
7 4.0565046118680481 -.28990038E+01
9 4.0525373366184114 -.29163155E+01
11 4.0528503355111223 -.29143453E+01
13 4.0555824852617475 -.29076310E+01
