k lattice_const E0
3 4.0204599521665045 -.30628229E+01
5 4.0627489828044903 -.28750976E+01
7 4.0565554621564184 -.28991152E+01
9 4.0525493758940367 -.29164262E+01
11 4.0528872229440429 -.29144554E+01
13 4.0560711062487282 -.29077400E+01
