k lattice_const E0
3 4.1515579000421932 -.27585677E+01
5 4.1961517509846775 -.25817099E+01
7 4.1909278412691702 -.26047341E+01
9 4.1865692663788581 -.26210223E+01
11 4.1884229193137150 -.26192123E+01
13 4.1889775034030619 -.26129175E+01
