k lattice_const E0
3 4.1565462822132861 -.27586275E+01
5 4.1990292445857769 -.25817076E+01
7 4.1943765000675501 -.26047443E+01
9 4.1899433480628216 -.26210372E+01
11 4.1897794031181101 -.26192154E+01
13 4.1923439026684726 -.26129285E+01
