k lattice_const E0
3 4.2820000648000001 -.27449124E+01
5 4.2820000648000001 -.25753949E+01
7 4.2820000648000001 -.25979798E+01
9 4.2820000648000001 -.26136650E+01
11 4.2820000648000001 -.26118792E+01
13 4.2820000648000001 -.26058377E+01
