k lattice_const E0
3 4.1514237209389497 -.27585784E+01
5 4.1959634275761228 -.25817057E+01
7 4.1909657179725333 -.26047312E+01
9 4.1862272165144052 -.26210170E+01
11 4.1883243203809686 -.26192095E+01
13 4.1887510919110742 -.26129134E+01
