k lattice_const E0
3 4.1514593469074343 -.27585757E+01
5 4.1960126479851940 -.25817097E+01
7 4.1907659295573234 -.26047343E+01
9 4.1863218581284602 -.26210209E+01
11 4.1883113277486048 -.26192120E+01
13 4.1888018280444355 -.26129164E+01
