k lattice_const E0
3 4.1567789394389507 -.27586459E+01
5 4.1992446767093750 -.25817432E+01
7 4.1946854398976701 -.26047806E+01
9 4.1901807615169666 -.26210717E+01
11 4.1900476902691448 -.26192498E+01
13 4.1925700901014658 -.26129633E+01
