k lattice_const E0
3 4.1562276085121130 -.27585719E+01
5 4.1987099606613771 -.25816279E+01
7 4.1941095268214355 -.26046672E+01
9 4.1895476954652313 -.26209624E+01
11 4.1894366734814525 -.26191404E+01
13 4.1919920699185180 -.26128534E+01
