k lattice_const E0
3 4.1566248617367210 -.27586250E+01
5 4.1991014956935944 -.25817115E+01
7 4.1945283114671845 -.26047494E+01
9 4.1900768134822837 -.26210409E+01
11 4.1898995619873372 -.26192185E+01
13 4.1924466770694133 -.26129316E+01
